9475007,14939378
20078834,32614339
18462892,29783332
622872,870213
18559709,29896883
39203874,65379316
99403,136899
99580,137188
99589,137056
27554746,44818269
1268339,1918825
27932656,45374944
26337608,42509551
136501,199175
27624527,44770342
99487,136866
99664,137130
99673,137058
99683,137273
27707074,44828018
141567,189851
29199260,47295491
99460,136769
99743,137425
99494,136836
99769,137447
99526,136723
99542,136696
99811,137345
99820,137441
99685,137357
8866036,13889716
7342542,11617509
1831379,3148827
373420,613736
2180334,3378808
2034712,3179541
3001338,5272983
476081,775100
1993678,3315447
105516,146418
99788,137540
956844,1470020
947641,1462792
117332,165134
117057,164563
246221,365312
99782,137035
100183,138004
128856,182982
220673,327653
348938,525546
403407,614846
99792,136906
99937,137514
100153,137952
100129,137884
100147,137773
99896,137352
100168,137945
100216,138034
100229,138039
99979,137463
99279,137100
99029,136487
100253,138067
100261,138067
1144343,1737873
229826,351554
1044809,1632552
903652,1369724
120682,158438
948154,1463687
123188,174217
100273,138121
134509,191884
98809,153105
189712,218801
129847,178770
297533,395704
131098,202944
131047,207915
147871,241518
119544,156971
131316,190930
131107,191038
130989,185784
131098,190761
114714,152208
131131,190961
131080,173431
131197,191134
131022,190793
130196,184951
130572,172721
131018,190980
130195,190185
131148,173505
131652,191607
114846,152389
131192,173585
131155,190835
119751,157177
131245,191272
119785,157449
131609,191589
131284,191321
131278,186166
137150,201936
131531,173498
131393,173610
131467,186473
130952,172944
131214,186277
131525,191112
120039,157715
131405,186301
131447,191569
131213,186140
131530,173984
131454,186451
131610,191116
131531,185951
131672,173707
131291,173900
131532,186558
131689,191272
130551,190760
119095,156992
115329,152953
130761,190995
115371,153302
131815,191218
130622,190924
131647,191953
115423,153274
131863,186324
115442,153346
131735,192045
131745,192034
115457,152962
131838,191042
131592,174158
131764,173847
120086,157857
131572,191916
99573,154498
104628,144933
214860,259981
158985,236855
131019,225175
130850,190844
351509,561587
131047,185584
131022,173271
220668,341143
130593,172587
394341,714711
131489,173748
131048,185794
130975,190922
131533,173802
131145,190775
131052,190943
131093,190938
131141,191040
131046,185858
